zipcode,ncells,acres,date
93461,1,0.22239464671374842,2023-04-30
93203,4845,1077.502063328111,2023-04-30
93206,10323,2295.779938026025,2023-04-30
93215,2285,508.1717677409152,2023-04-30
93220,6,1.3343678802824905,2023-04-30
93224,3,0.6671839401412453,2023-04-30
93241,122,27.13214689907731,2023-04-30
93243,27,6.0046554612712075,2023-04-30
93249,797,177.2485334308575,2023-04-30
93250,523,116.31240023129043,2023-04-30
93251,73,16.234809210103634,2023-04-30
93263,3959,880.4604063397301,2023-04-30
93276,22,4.8926822277024655,2023-04-30
93280,13620,3029.0150882412536,2023-04-30
93287,4,0.8895785868549937,2023-04-30
93301,427,94.96251414677057,2023-04-30
93304,15,3.3359197007062265,2023-04-30
93305,60,13.343678802824906,2023-04-30
93306,240,53.37471521129962,2023-04-30
93308,2097,466.36157415873043,2023-04-30
93309,717,159.45696169375762,2023-04-30
93312,136,30.245671953069788,2023-04-30
93314,26452,5882.783194872073,2023-04-30
93518,1,0.22239464671374842,2023-04-30
93531,NA,NA,2023-04-30
93561,0,0,2023-04-30
93252,102,22.68425396480234,2023-05-08
93268,15,3.3359197007062265,2023-05-08
93307,3845,855.1074166143627,2023-05-08
93311,7204,1602.1310349258438,2023-05-08
93313,2124,472.36622962000166,2023-05-08
93461,256,56.933029558719596,2023-05-08
93203,12615,2805.5084682939364,2023-05-08
93206,10462,2326.692793919236,2023-05-08
93215,2389,531.300810999145,2023-05-08
93220,666,148.11483471135645,2023-05-08
93224,12,2.668735760564981,2023-05-08
93241,157,34.9159595340585,2023-05-08
93243,667,148.3372293580702,2023-05-08
93249,1208,268.6527332302081,2023-05-08
93250,510,113.4212698240117,2023-05-08
93251,84,18.681150323954867,2023-05-08
93263,3886,864.2255971296264,2023-05-08
93276,16,3.5583143474199748,2023-05-08
93280,11662,2593.5663699757342,2023-05-08
93287,6,1.3343678802824905,2023-05-08
93301,286,63.60486896013205,2023-05-08
93304,6,1.3343678802824905,2023-05-08
93305,12,2.668735760564981,2023-05-08
93306,1394,310.0181375189653,2023-05-08
93308,2010,447.01323989463435,2023-05-08
93309,695,154.56427946605515,2023-05-08
93312,107,23.79622719837108,2023-05-08
93314,27029,6011.1049060259065,2023-05-08
93518,129,28.688909426073547,2023-05-08
93531,0,0,2023-05-08
93561,49,10.897337688973673,2023-05-08
93252,49,10.897337688973673,2023-05-16
93268,43,9.562969808691182,2023-05-16
93307,2858,635.603900307893,2023-05-16
93311,1312,291.7817764884379,2023-05-16
93313,1817,404.0910730788809,2023-05-16
93461,1,0.22239464671374842,2023-05-16
93203,4771,1061.0448594712936,2023-05-16
93206,7542,1677.3004255150906,2023-05-16
93215,2532,563.1032454792111,2023-05-16
